item_id,title,category,difficulty,tags,description
1,Python Basics,Programming,Beginner,"python programming basics variables loops","Learn Python syntax, variables, loops, functions, and simple problem solving."
2,Python Practice Problems,Programming,Beginner,"python coding practice exercises logic","Practice beginner Python questions to improve coding confidence."
3,Data Analysis with Pandas,Data Analytics,Beginner,"python pandas data analytics csv cleaning","Use pandas to load, clean, filter, and summarize tabular data."
4,Machine Learning Starter,Machine Learning,Beginner,"machine learning classification regression sklearn python","Start with supervised learning, train-test split, and simple scikit-learn models."
5,Deep Learning Basics,Artificial Intelligence,Intermediate,"deep learning neural networks ai tensorflow","Understand neural network ideas and common deep learning terms."
6,Computer Vision with OpenCV,Computer Vision,Intermediate,"computer vision opencv image processing python","Work with images, filters, edges, and simple object detection ideas."
7,NLP Text Processing,Artificial Intelligence,Intermediate,"nlp natural language processing text tfidf python","Clean text data and turn words into features for text projects."
8,Flask Web Development,Web Development,Beginner,"flask python web development backend api","Build small web apps and APIs with Flask and Python."
9,Django Backend Development,Backend,Intermediate,"django backend python database web development","Create structured backend projects using Django models, views, and templates."
10,React Frontend Basics,Frontend,Beginner,"react frontend javascript components web development","Learn components, props, state, and basic frontend project structure."
11,HTML CSS Landing Page,Frontend,Beginner,"html css frontend responsive design web","Build clean static pages using HTML, CSS, layout, and responsive design."
12,Cybersecurity Fundamentals,Cybersecurity,Beginner,"cybersecurity security networking threats basics","Learn basic security concepts, common risks, and safe computing habits."
13,Ethical Hacking Intro,Cybersecurity,Intermediate,"cybersecurity ethical hacking linux scanning","Understand ethical hacking basics, scanning ideas, and responsible testing."
14,Cloud Computing Basics,Cloud,Beginner,"cloud computing aws deployment servers storage","Learn cloud concepts like servers, storage, deployment, and scaling."
15,Automation with Python,Automation,Beginner,"python automation scripts files excel tasks","Automate repeated tasks using Python scripts, files, folders, and simple workflows."
16,SQL for Data Analytics,Data Analytics,Beginner,"sql data analytics database queries joins","Write SQL queries to filter, group, join, and analyze data."
17,Portfolio Project Building,Career,Beginner,"portfolio projects github documentation resume","Plan and document small projects that can be added to a student portfolio."
18,AI Chatbot Development,Artificial Intelligence,Beginner,"ai chatbot python rules nlp conversation","Build a simple chatbot and understand basic conversation logic."
19,Recommendation System Basics,Artificial Intelligence,Intermediate,"recommendation system content based tfidf cosine similarity","Build a content-based recommendation system using item features and similarity scores."
20,Data Visualization with Matplotlib,Data Analytics,Beginner,"python matplotlib data visualization charts plots","Create simple charts to explain data and model results."
21,Model Evaluation Metrics,Machine Learning,Beginner,"machine learning accuracy precision recall f1 confusion matrix","Understand accuracy, precision, recall, F1 score, and confusion matrices."
22,Feature Engineering Basics,Machine Learning,Intermediate,"machine learning features preprocessing scaling encoding","Prepare better input features for machine learning models."
23,API Development with FastAPI,Backend,Intermediate,"fastapi python backend api web development","Create fast API services with Python and simple validation."
24,JavaScript Essentials,Frontend,Beginner,"javascript frontend web basics events dom","Learn JavaScript basics for frontend interaction and browser behavior."
25,Git and GitHub Basics,Tools,Beginner,"git github version control commits repository","Track code changes, create commits, and push projects to GitHub."
26,Cloud Deployment for Beginners,Cloud,Intermediate,"cloud deployment streamlit python app hosting","Deploy simple Python or web apps to a cloud platform."
27,Excel Automation,Automation,Beginner,"python automation excel pandas reports","Automate spreadsheet reading, cleaning, and report generation."
28,Time Series Data Intro,Data Analytics,Intermediate,"data analytics time series forecasting pandas","Work with date-based data and understand basic trend analysis."
29,Computer Vision Project Ideas,Computer Vision,Beginner,"computer vision image classification opencv projects","Explore beginner projects using images, cameras, and classification ideas."
30,NLP Sentiment Analysis,Artificial Intelligence,Intermediate,"nlp sentiment analysis text classification machine learning","Build a text classification project to detect positive or negative sentiment."
31,Backend Database Design,Backend,Intermediate,"backend database sql schema api design","Design simple database tables for backend applications."
32,Python Web Scraping,Automation,Intermediate,"python automation scraping requests beautifulsoup data","Collect simple website data using Python requests and parsing."
